,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
regime_logits[52],0.037,1.002,-1.837,1.891,0.025,0.01,1574.0,5201.0,1.0
regime_logits[53],0.04,1.002,-1.928,1.866,0.028,0.011,1307.0,3894.0,1.0
regime_logits[54],0.031,0.991,-1.809,1.934,0.014,0.01,4863.0,5401.0,1.0
regime_logits[55],-0.03,0.992,-1.91,1.78,0.031,0.01,1011.0,5283.0,1.01
regime_logits[56],0.005,1.013,-1.904,1.884,0.03,0.015,1175.0,522.0,1.0
regime_logits[57],0.015,1.008,-1.78,1.964,0.02,0.012,2675.0,1540.0,1.0
regime_logits[58],-0.014,0.983,-1.831,1.902,0.012,0.01,6762.0,5947.0,1.0
regime_logits[59],0.036,0.992,-1.784,1.951,0.019,0.011,2644.0,4307.0,1.0
regime_logits[60],0.017,0.962,-1.831,1.743,0.015,0.011,4193.0,5874.0,1.0
regime_logits[61],-0.041,1.004,-1.929,1.824,0.014,0.011,5026.0,5032.0,1.0
regime_logits[62],0.052,0.996,-1.807,1.951,0.022,0.011,2026.0,5167.0,1.0
regime_logits[63],-0.001,1.04,-1.883,2.026,0.037,0.034,885.0,537.0,1.01
regime_logits[64],-0.022,0.984,-1.87,1.793,0.016,0.011,3687.0,5729.0,1.0
regime_logits[65],0.025,1.001,-1.781,1.99,0.014,0.012,5003.0,4930.0,1.0
regime_logits[66],-0.023,0.998,-1.924,1.839,0.022,0.011,2067.0,5211.0,1.0
regime_logits[67],-0.023,0.998,-1.911,1.843,0.012,0.011,6425.0,5811.0,1.0
regime_logits[68],-0.062,1.003,-1.909,1.872,0.033,0.011,925.0,4229.0,1.0
regime_logits[69],0.032,1.005,-1.841,1.942,0.014,0.011,5338.0,4309.0,1.0
regime_logits[70],0.059,0.993,-1.823,1.912,0.027,0.012,1317.0,4311.0,1.0
regime_logits[71],0.016,1.008,-1.792,1.918,0.031,0.011,1057.0,4978.0,1.01
regime_logits[72],0.029,0.995,-1.818,1.926,0.013,0.011,5824.0,5520.0,1.0
regime_logits[73],0.02,1.003,-1.911,1.845,0.013,0.011,6166.0,5463.0,1.0
regime_logits[74],0.052,0.99,-1.699,2.005,0.036,0.01,754.0,4384.0,1.0
regime_logits[75],-0.037,0.984,-1.88,1.817,0.023,0.011,1831.0,5245.0,1.0
regime_logits[76],0.02,1.003,-1.956,1.818,0.013,0.01,5754.0,5687.0,1.0
regime_logits[77],-0.056,0.992,-1.954,1.779,0.015,0.011,4529.0,5817.0,1.0
regime_logits[78],0.045,1.003,-1.842,1.945,0.024,0.012,1674.0,5263.0,1.0
regime_logits[79],0.036,1.012,-1.887,1.869,0.031,0.011,1079.0,3853.0,1.0
regime_logits[80],-0.032,1.0,-1.922,1.828,0.015,0.011,4282.0,4254.0,1.0
regime_logits[81],-0.019,0.991,-1.922,1.804,0.012,0.01,6501.0,5436.0,1.0
regime_logits[82],-0.005,1.01,-1.875,1.878,0.013,0.011,6496.0,5705.0,1.0
regime_logits[83],0.049,1.005,-1.851,1.9,0.02,0.011,2487.0,4707.0,1.0
regime_logits[84],0.032,1.009,-1.883,1.898,0.018,0.013,2990.0,4845.0,1.0
regime_logits[85],0.033,0.994,-1.844,1.858,0.012,0.01,6420.0,5786.0,1.0
